#t Vm Li6 Li7 Q A delta7 Li
0 -40 0 0 140 20 10.7437740274714 0
5 -39.317729330408 0.0108671280254311 0.132018017664252 139.986561734342 20 10.7479329234843 0.142885145689683
10 -38.6462943572268 0.0216056724267327 0.262475057695187 139.972757178568 20 10.7521892468394 0.28408073012192
15 -37.9855648217155 0.0322173259425391 0.39139170213422 139.958588771825 20 10.7565425870826 0.423609028076759
20 -37.335411873567 0.0427037552852146 0.518788216071232 139.944059029016 20 10.760992490364 0.561491971356447
25 -36.6957080288144 0.0530666019186019 0.644684557085529 139.929170538569 20 10.7655384604259 0.697751159004131
30 -36.0663271298134 0.0633074828088851 0.76910038436152 139.913925960161 20 10.7701799596127 0.832407867170405
35 -35.4471443072528 0.0734279911488777 0.89205506748287 139.898328022408 20 10.7749164099058 0.965483058631748
40 -34.838035944145 0.0834296970560814 1.01356769490929 139.882379520525 20 10.7797471939788 1.09699739196537
45 -34.2388796417434 0.0933141482448958 1.13365708214056 139.866083313951 20 10.7846716562709 1.22697123038545
50 -33.649554187337 0.10308287067339 1.25234177957269 139.849442323961 20 10.7896891040753 1.35542465024608
55 -33.0699395238672 0.112737369165072 1.36964008005166 139.832459531252 20 10.7947988086432 1.48237744921673
60 -32.4999167213114 0.12227912800613 1.48557002613012 139.81513797352 20 10.8000000062982 1.60784915413625
65 -31.9393679497803 0.131709611518625 1.60014941703323 139.797480743025 20 10.8052918995625 1.73185902855185
70 -31.3881764542697 0.141030264610151 1.71339581533964 139.77949098415 20 10.8106736582894 1.85442607994979
75 -30.8462265310119 0.150242513300497 1.82532655338403 139.761171890961 20 10.8161444208035 1.97556906668453
80 -30.3134035053689 0.159347765225856 1.93595873938797 139.742526704762 20 10.8217032950437 2.09530650461382
85 -29.7895937112095 0.16834741012114 2.0453092633257 139.723558711664 20 10.8273493597117 2.21365667344684
90 -29.2746844717127 0.177242820280991 2.15339480253202 139.704271240155 20 10.8330816654172 2.33063762281301
95 -28.7685640815403 0.186035351000062 2.26023182705918 139.684667658688 20 10.8388992358259 2.44626717805924
100 -28.2711217903206 0.194726340993176 2.36583660479018 139.664751373278 20 10.8448010688047 2.56056294578335
105 -27.7822477873862 0.20331711279596 2.47022520631565 139.644525825124 20 10.850786137562 2.67354231911161
110 -27.3018331877093 0.21180897314658 2.57341350958177 139.623994488243 20 10.8568533917841 2.78522248272835
115 -26.8297700189778 0.220203213349165 2.67541720431661 139.603160867139 20 10.8630017587641 2.89562041766578
120 -26.3659512097568 0.228501109619569 2.77625179624239 139.582028494483 20 10.8692301445248 3.00475290586196
125 -25.910270578681 0.236703923414069 2.8759326110811 139.560600928836 20 10.8755374349307 3.11263653449516
130 -25.4626228246219 0.244812901741618 2.9744747983609 139.538881752392 20 10.8819224967904 3.21928770010251
135 -25.0229035177802 0.252829277460277 3.07189333503089 139.516874568759 20 10.8883841789491 3.32472261249117
140 -24.5910090916467 0.260754269558434 3.16820302889147 139.49458300077 20 10.8949213133669 3.4289572984499
145 -24.166836835784 0.268589083421416 3.26341852184768 139.472010688338 20 10.9015327161857 3.5320076052691
150 -23.7502848893772 0.276334911084099 3.35755429299293 139.449161286335 20 10.9082171887802 3.63388920407703
155 -23.3412522355049 0.283992931470109 3.45062466153007 139.426038462527 20 10.9149735187968 3.73461759300018
160 -22.9396386960827 0.291564310618206 3.54264378953715 139.402645895535 20 10.9218004811724 3.83420810015536
165 -22.5453449274329 0.29905020189642 3.6336256845847 139.378987272849 20 10.9286968391413 3.93267588648112
170 -22.1582724164352 0.306451746204522 3.72358420221141 139.355066288875 20 10.9356613452221 4.03003594841594
175 -21.7783234772147 0.313770072165375 3.81253304826511 139.330886643037 20 10.9426927421874 4.12630312043048
180 -21.405401248324 0.321006296305726 3.90048578111545 139.306452037913 20 10.9497897640161 4.22149207742117
185 -21.039409690379 0.328161523226962 3.98745581374499 139.281766177424 20 10.9569511368268 4.31561733697195
190 -20.680253584109 0.335236845766361 4.07345641572486 139.256832765067 20 10.9641755797898 4.40869326149122
195 -20.3278385287824 0.342233345149354 4.1585007150812 139.231655502197 20 10.9714618060235 4.50073406023056
200 -19.9820709409703 0.34915209113328 4.24260170005848 139.206238086348 20 10.9788085234661 4.59175379119176
205 -19.642858053615 0.355994142143136 4.32577222078544 139.180584209615 20 10.9862144357309 4.68176636292858
210 -19.3101079153672 0.362760545399778 4.40802499084944 139.154697557076 20 10.9936782429387 4.77078553624922
215 -18.9837293901605 0.369452337041039 4.48937258878462 139.128581805259 20 11.0011986425309 4.85882492582566
220 -18.6636321569925 0.3760705422362 4.56982745947932 139.102240620665 20 11.00877433006 4.94589800171552
225 -18.3497267098816 0.382616175294239 4.64940191550783 139.075677658339 20 11.0164039999601 5.03201809080207
230 -18.0419243579728 0.389090239766278 4.72810813839154 139.048896560479 20 11.024086346296 5.11719837815782
235 -17.7401372257647 0.395493728542619 4.80595817979417 139.021900955108 20 11.0318200634911 5.20145190833679
240 -17.4442782534331 0.40182762394475 4.88296396265592 138.994694454782 20 11.0396038470333 5.28479158660067
245 -17.1542611972261 0.408092897812699 4.95913728227069 138.967280655351 20 11.0474363941608 5.36723018008339
250 -16.8700006299092 0.414290511588075 5.03448980731099 138.939663134769 20 11.0553164045242 5.44878031889907
255 -16.5914119412379 0.420421416393144 5.1090330808043 138.911845451947 20 11.0632425808306 5.52945449719744
260 -16.3184113384388 0.426486553106265 5.18277852106502 138.883831145653 20 11.0712136294644 5.60926507417129
265 -16.0509158466794 0.432486852433989 5.25573742258573 138.855623733463 20 11.079228261087 5.68822427501972
270 -15.7888433095092 0.438423234980113 5.3279209568912 138.827226710751 20 11.0872851912167 5.76634419187131
275 -15.5321123892565 0.444296611311989 5.39934017335869 138.79864354973 20 11.0953831407872 5.84363678467068
280 -15.2806425673643 0.450107882024334 5.47000600000778 138.76987769853 20 11.103520836685 5.92011388203211
285 -15.0343541446521 0.455857937800803 5.53992924426265 138.740932580332 20 11.1116970122676 5.99578718206345
290 -14.7931682414905 0.461547659473572 5.60912059368995 138.71181159253 20 11.1199104078614 6.07066825316353
295 -14.5570067978759 0.467177918081151 5.67759061671485 138.682518105945 20 11.1281597712374 6.144768534796
300 -14.3257925733952 0.472749574924643 5.7453497633179 138.653055464083 20 11.1364438580714 6.21809933824254
305 -14.0994491470703 0.478263481622655 5.81240836571523 138.623426982424 20 11.144761432381 6.29067184733788
310 -13.8779009170727 0.483720480165046 5.87877663902436 138.593635947757 20 11.1531112669445 6.36249711918941
315 -13.6610731003013 0.489121402965702 5.94446468191777 138.563685617558 20 11.161492143704 6.43358608488347
320 -13.4488917318149 0.494467072914493 6.00948247726625 138.533579219398 20 11.1699028541439 6.50394955018075
325 -13.2412836641139 0.499758303428573 6.07383989277404 138.503319950394 20 11.1783421996581 6.57359819620261
330 -13.0381765662652 0.504995898503177 6.13754668160736 138.472910976699 20 11.1868089918932 6.64254258011054
335 -12.8394989228655 0.510180652762037 6.20061248301815 138.442355433019 20 11.1953020530793 6.71079313578018
340 -12.6451800328393 0.515313351507553 6.26304682296441 138.411656422173 20 11.2038202163394 6.77836017447196
345 -12.4551500080672 0.520394770770835 6.32485911472866 138.380817014688 20 11.2123623259845 6.84525388549949
350 -12.2693397718431 0.525425677361718 6.38605865953574 138.349840248417 20 11.220927237793 6.91148433689745
355 -12.0876810571572 0.530406828918845 6.44665464717118 138.318729128203 20 11.2295138192695 6.97706147609002
360 -11.9101064048032 0.535338973959927 6.50665615660126 138.287486625564 20 11.2381209498933 7.04199513056118
365 -11.7365491613104 0.540222851932238 6.5660721565957 138.256115678414 20 11.2467475213489 7.10629500852794
370 -11.5669434766969 0.545059193263432 6.62491150635392 138.22461919081 20 11.2553924377392 7.16997069961735
375 -11.4012243020485 0.549848719412749 6.68318295613567 138.193000032732 20 11.2640546157896 7.23303167554842
380 -11.2393273869191 0.554592142922663 6.74089514789678 138.161261039887 20 11.2727329850328 7.29548729081944
385 -11.0811892765579 0.559290167471032 6.79805661593059 138.129405013543 20 11.2814264879815 7.35734678340163
390 -10.9267473089607 0.563943487923792 6.85467578751579 138.097434720386 20 11.290134080288 7.41861927543958
395 -10.7759396117509 0.568552790388238 6.91076098357098 138.065352892407 20 11.2988547308901 7.47931377395921
400 -10.6287050988892 0.573118752266923 6.96632041931651 138.033162226807 20 11.307587422144 7.53943917158343
405 -10.4849834672165 0.577642042312208 7.02136220494394 138.000865385931 20 11.3163311499451 7.59900424725615
410 -10.3447151928313 0.582123320681489 7.07589434629334 137.968464997222 20 11.3250849238364 7.65801766697483
415 -10.2078415273058 0.586563238993116 7.12992474553876 137.935963653198 20 11.3338477671054 7.71648798453187
420 -10.0743044937429 0.590962440383014 7.18346120188202 137.903363911449 20 11.3426187168695 7.77442364226503
425 -9.94404688267825 0.595321559562036 7.23651141225495 137.870668294657 20 11.3513968241499 7.83183297181699
430 -9.81701224783133 0.599641222874033 7.28908297203023 137.83787929063 20 11.3601811539366 7.88872419490426
435 -9.69314490170804 0.60392204835465 7.34118337574067 137.804999352361 20 11.3689707852398 7.94510542409532
440 -9.5723899110605 0.608164645790862 7.39282001780728 137.772030898099 20 11.3777648111355 8.00098466359815
445 -9.45469309220729 0.612369616781223 7.44400019327572 137.738976311445 20 11.3865623387976 8.05636981005695
450 -9.34000100621865 0.616537554796838 7.49473109856129 137.705837941453 20 11.3953624895224 8.11126865335813
455 -9.22826095397117 0.620669045243044 7.54501983220228 137.67261810276 20 11.4041643987453 8.16568887744533
460 -9.11942097107641 0.624764665521784 7.59487339562155 137.639319075717 20 11.4129672160459 8.21963806114333
465 -9.01342982268813 0.628824985094667 7.6442986938961 137.605943106549 20 11.4217701051482 8.27312367899077
470 -8.91023699819272 0.632850565546689 7.69330253653462 137.572492407517 20 11.430572243909 8.32615310208131
475 -8.80979270578761 0.636841960650608 7.74189163826256 137.538969157095 20 11.4393728243019 8.37873359891316
480 -8.71204786695246 0.640799716431936 7.79007261981463 137.505375500168 20 11.4481710523919 8.43087233624657
485 -8.61695411081788 0.644724371234543 7.83785200873456 137.471713548229 20 11.4569661483037 8.4825763799691
490 -8.5244637684364 0.648616455786845 7.88523624018151 137.437985379597 20 11.4657573461829 8.53385269596836
495 -8.43452986696076 0.65247649326854 7.93223165774328 137.40419303964 20 11.4745438941508 8.58470815101182
500 -8.34710612373402 0.656304999377882 7.97884451425562 137.370338541009 20 11.4833250542516 8.6351495136335
505 -8.26214694029648 0.660102482399463 8.02508097262759 137.336423863884 20 11.4921001023967 8.68518345502706
510 -8.17960739631413 0.663869443272464 8.07094710667254 137.302450956226 20 11.5008683282998 8.73481654994501
515 -8.0994432434333 0.667606375659364 8.1164489019443 137.268421734037 20 11.5096290354078 8.78405527760367
520 -8.02161089906628 0.671313766015061 8.16159225657842 137.234338081629 20 11.5183815408277 8.83290602259348
525 -7.94606744011253 0.674992093656393 8.20638298213791 137.200201851902 20 11.5271251752471 8.8813750757943
530 -7.87277059662004 0.678641830832016 8.25082680446332 137.166014866623 20 11.5358592828501 8.92946863529534
535 -7.80167874539139 0.682263442792612 8.29492936452662 137.131778916719 20 11.5445832212278 8.97719280731923
540 -7.73275090353902 0.685857387861402 8.33869621928861 137.097495762569 20 11.5532963612888 9.02455360715001
545 -7.66594672199396 0.689424117504933 8.38213284255957 137.063167134304 20 11.561998087158 9.07155696006451
550 -7.60122647897255 0.692964076404095 8.4252446258626 137.028794732117 20 11.5706877960797 9.11820870226669
555 -7.53855107340516 0.696477702525363 8.46803687929944 136.994380226565 20 11.5793648983111 9.1645145818248
560 -7.47788201833129 0.699965427192209 8.5105148324184 136.959925258889 20 11.5880288170154 9.21048025961061
565 -7.41918143426487 0.70342767515667 8.55268363508398 136.925431441328 20 11.5966789881505 9.25611131024065
570 -7.36241204253403 0.706864864671036 8.59454835834779 136.890900357442 20 11.6053148603559 9.30141322301883
575 -7.30753715859893 0.71027740755963 8.63611399532062 136.856333562438 20 11.6139358948339 9.34639140288025
580 -7.25452068535168 0.713665709290647 8.67738546204499 136.821732583489 20 11.6225415652325 9.39105117133563
585 -7.20332710640193 0.717030169048036 8.71836759836819 136.787098920073 20 11.6311313575204 9.43539776741623
590 -7.15392147935171 0.720371179803378 8.75906516881521 136.752434044297 20 11.639704769866 9.47943634861858
595 -7.10626942906319 0.72368912838775 8.79948286346129 136.717739401232 20 11.6482613125077 9.52317199184904
